


batch_size 100, learning rate 5e-05, coeff 1.0
train epoch 0, iteration 0, loss -2.0711841583251953
validation epoch 0, iteration 0, loss 2.370790397644043
train epoch 0, iteration 50, loss -2.641911029815674
train epoch 0, iteration 100, loss -3.060872793197632
validation epoch 0, iteration 100, loss 1.4911147018432618
train epoch 0, iteration 150, loss -3.4418234825134277
train epoch 0, iteration 200, loss -3.6925277709960938
validation epoch 0, iteration 200, loss 1.01248330078125
train epoch 0, iteration 250, loss -4.024513244628906
train epoch 0, iteration 300, loss -4.021745204925537
validation epoch 0, iteration 300, loss 0.7645082893371582
train epoch 0, iteration 350, loss -4.388972282409668
train epoch 0, iteration 400, loss -4.2973127365112305
validation epoch 0, iteration 400, loss 0.626224766921997
train epoch 0, iteration 450, loss -4.53386116027832
train epoch 0, iteration 500, loss -4.53600549697876
validation epoch 0, iteration 500, loss 0.5419694507598877
train epoch 0, iteration 550, loss -4.7048516273498535
train epoch 1, iteration 0, loss -4.761190891265869
validation epoch 1, iteration 0, loss 0.4837981693267822
train epoch 1, iteration 50, loss -4.845180034637451
train epoch 1, iteration 100, loss -4.887503623962402
validation epoch 1, iteration 100, loss 0.4431866193771362
train epoch 1, iteration 150, loss -4.909566879272461
train epoch 1, iteration 200, loss -5.035480499267578
validation epoch 1, iteration 200, loss 0.4147657741546631
train epoch 1, iteration 250, loss -5.091554641723633
train epoch 1, iteration 300, loss -5.075374603271484
validation epoch 1, iteration 300, loss 0.39075966186523436
train epoch 1, iteration 350, loss -5.205212593078613
train epoch 1, iteration 400, loss -5.225222587585449
validation epoch 1, iteration 400, loss 0.373699794960022
train epoch 1, iteration 450, loss -5.239050388336182
train epoch 1, iteration 500, loss -5.3373565673828125
validation epoch 1, iteration 500, loss 0.3584429433822632
train epoch 1, iteration 550, loss -5.35612154006958
train epoch 2, iteration 0, loss -5.443107604980469
validation epoch 2, iteration 0, loss 0.3446948959350586
train epoch 2, iteration 50, loss -5.4353251457214355
train epoch 2, iteration 100, loss -5.520997047424316
validation epoch 2, iteration 100, loss 0.3353511581420898
train epoch 2, iteration 150, loss -5.604215621948242
train epoch 2, iteration 200, loss -5.482974052429199
validation epoch 2, iteration 200, loss 0.3275681200027466
train epoch 2, iteration 250, loss -5.419007301330566
train epoch 2, iteration 300, loss -5.401752948760986
validation epoch 2, iteration 300, loss 0.3182060800552368
train epoch 2, iteration 350, loss -5.706465721130371
train epoch 2, iteration 400, loss -5.694797039031982
validation epoch 2, iteration 400, loss 0.31154383029937743
train epoch 2, iteration 450, loss -5.713425636291504
train epoch 2, iteration 500, loss -5.757791042327881
validation epoch 2, iteration 500, loss 0.3070838748931885
train epoch 2, iteration 550, loss -5.709754943847656
train epoch 3, iteration 0, loss -5.832128524780273
validation epoch 3, iteration 0, loss 0.29920247163772584
train epoch 3, iteration 50, loss -5.8057050704956055
train epoch 3, iteration 100, loss -5.757273197174072
