


batch_size 100, learning rate 5e-05, coeff 10.0
train epoch 0, iteration 0, loss -42.08881759643555
validation epoch 0, iteration 0, loss 2.345328561401367
train epoch 0, iteration 50, loss -44.115074157714844
train epoch 0, iteration 100, loss -45.9505729675293
validation epoch 0, iteration 100, loss 1.6780080474853516
train epoch 0, iteration 150, loss -47.65922164916992
train epoch 0, iteration 200, loss -49.275691986083984
validation epoch 0, iteration 200, loss 1.251996661376953
train epoch 0, iteration 250, loss -50.62329864501953
train epoch 0, iteration 300, loss -51.748313903808594
validation epoch 0, iteration 300, loss 0.9809222671508789
train epoch 0, iteration 350, loss -52.74754333496094
train epoch 0, iteration 400, loss -53.72945022583008
validation epoch 0, iteration 400, loss 0.8097409004211426
train epoch 0, iteration 450, loss -54.59914779663086
train epoch 0, iteration 500, loss -55.20486068725586
validation epoch 0, iteration 500, loss 0.6972977237701417
train epoch 0, iteration 550, loss -56.061500549316406
train epoch 1, iteration 0, loss -56.77845764160156
validation epoch 1, iteration 0, loss 0.6175862564086914
train epoch 1, iteration 50, loss -57.37432861328125
train epoch 1, iteration 100, loss -58.058223724365234
validation epoch 1, iteration 100, loss 0.5578898704528809
train epoch 1, iteration 150, loss -58.57664489746094
train epoch 1, iteration 200, loss -59.097251892089844
validation epoch 1, iteration 200, loss 0.5137718559265136
train epoch 1, iteration 250, loss -59.63371658325195
train epoch 1, iteration 300, loss -60.05717468261719
validation epoch 1, iteration 300, loss 0.47827409439086915
train epoch 1, iteration 350, loss -60.60505676269531
train epoch 1, iteration 400, loss -61.23522186279297
validation epoch 1, iteration 400, loss 0.4507765552520752
train epoch 1, iteration 450, loss -61.54811477661133
train epoch 1, iteration 500, loss -61.973140716552734
validation epoch 1, iteration 500, loss 0.428740806388855
train epoch 1, iteration 550, loss -62.345821380615234
train epoch 2, iteration 0, loss -62.88306427001953
validation epoch 2, iteration 0, loss 0.40955676956176756
train epoch 2, iteration 50, loss -63.279850006103516
train epoch 2, iteration 100, loss -63.6214599609375
validation epoch 2, iteration 100, loss 0.3924391345977783
train epoch 2, iteration 150, loss -63.98655700683594
train epoch 2, iteration 200, loss -64.36164093017578
validation epoch 2, iteration 200, loss 0.37842332401275636
train epoch 2, iteration 250, loss -64.75418853759766
train epoch 2, iteration 300, loss -65.05752563476562
validation epoch 2, iteration 300, loss 0.366075008392334
train epoch 2, iteration 350, loss -65.43208312988281
train epoch 2, iteration 400, loss -65.82451629638672
